,text,pre_annotation,all,agreement %
d_1185,"Lo pasé fatal en la playa porque, pese a hacer un día soleado y estar con amigos, había bandera roja y no me pude bañar. ",['abstracción selectiva'],['sobregeneralización'],0.0
a_506,"Aunque me interesa conocer mi estado de salud, es mejor que no me alarme si no hay motivos para ello, puedo consultar a un médico en caso de duda",[],[],0.0
d_237,Jamás voy a mejorar,['sobregeneralización'],"['sobregeneralización', 'adivinación', 'catastrofismo']",100.0
a_1469,Que mi vecino haya cogido las escaleras no tiene porque ser que piense mal de mi,[],[],0.0
d_1391,"Estoy agotada, mi jefe es un explotador.","['razonamiento emocional', 'etiquetado']",['razonamiento emocional'],50.0
a_343,No puedo saber que piensa mi vecino de mi si nunca he hablado con él,[],[],0.0
d_700,es una persona mezquina,['etiquetado'],['etiquetado'],100.0
d_897,"aunque ahora estoy en una buena época, pasará algo que me irá mal",['adivinación'],"['adivinación', 'catastrofismo']",100.0
d_1125,¿Y si todos se enfadan conmigo y me quedo solo? Sería horrible,['catastrofismo'],"['catastrofismo', 'adivinación']",100.0
a_905,mi familia me quiere y me han apoyado en otras situaciones difíciles,[],[],0.0
t_344,Esto me resulta molesto,[],[],0.0
d_562,Mi pareja tiene que contestarme rápido a todos los mensajes,['imperativos'],['imperativos'],100.0
a_531,"Me gusta tener una buena imagen, aunque esforzarse por aparentarlo ante los demás puede ser un gasto de energía innecesario",[],[],0.0
a_858,"Si mi amiga me respeta entenderá que no siempre pueda decirle que si, y va a seguir contando conmigo.",[],[],0.0
d_244,Nunca conseguiré un buen trabajo,['sobregeneralización'],"['adivinación', 'catastrofismo']",0.0
a_1151,Quizás hay otras variables externas que influyen en el mal rendimiento de mis alumnos. ,[],[],0.0
a_1308,"Me da miedo confiar en la gente, pero si lo intento puede que salga bien",[],[],0.0
d_369,Están cuchicheando y estoy convencido de que hablan de mí,['leer la mente'],['leer la mente'],100.0
d_527,Debo ser mejor que los demás,['imperativos'],['imperativos'],100.0
d_1195,"Había muy buen ambiente en el trabajo hoy, pero ha ocurrido un imprevisto y para mi ya se ha girado el día.",['abstracción selectiva'],[],0.0
a_1473,Todo el mundo puede tener un accidente,[],[],0.0
d_459,Quieren hacerme daño,['leer la mente'],['adivinación'],0.0
a_1372,"Me da la sensación de que cuando me he sentido feliz, siempre ha pasado algo malo que lo estropea. Pero seguramente no siempre haya sido así, lo pienso ahora porque me siento mal",[],[],0.0
d_1367,"Estoy muy enfadado con ella, si no consigo perdonarle es porque soy mala persona","['razonamiento emocional', 'etiquetado']","['personalización', 'etiquetado']",50.0
d_1453,"Cuando se ha comentado que las ventas de este año habían bajado, todo el mundo ha callado, seguro que me culpan a mi",['personalización'],"['personalización', 'adivinación']",100.0
a_509,"Estaría bien conocer a más gente, podrian aportarme cosas nuevas",[],[],0.0
t_241,"Mis compañeros piensan que tienen demasiado trabajo, se quejan cada día!",[],[],0.0
d_877,voy a perder a mis amigos,['adivinación'],"['adivinación', 'catastrofismo']",100.0
a_1172,Olvidarte de una prenda de ropa en un lugar no me convierte en un desastre como persona,[],[],0.0
d_1178,He quedado con mi amigo y todo iba bien hasta que empezamos a discutir sobre política. Seguro que ya no quiere ser amigo mio.,"['abstracción selectiva', 'leer la mente']",['leer la mente'],50.0
a_1240,"Algo le gustaría mi trabajo si lo valoró tanto, más allá de ese comentario acerca de la bibliografía.",[],[],0.0
a_614,Las cosas no han salido bien hoy,[],[],0.0
d_801,Si no controlo todo el tiempo a mi hija será un desastre,['pensamiento absolutista'],['abstracción selectiva'],0.0
d_731,Soy el más flojo del equipo,['etiquetado'],['etiquetado'],100.0
d_1225,"La comida estaba muy buena, pero el camarero tardó mucho en atendernos y eso hizo que estuviese enfadado toda la noche",['abstracción selectiva'],['sobregeneralización'],0.0
a_377,"Creo que mi pareja piensa que soy un caprichoso, pero no lo sé bien.",[],[],0.0
d_631,mi mejor amigo es arrogante,['etiquetado'],['etiquetado'],100.0
a_415,Quizás no le gusta mi actitud. Hablaré con él para asegurarme.,[],[],0.0
t_285,Si no cuido de mi mascota podria tener problemas de salud,[],[],0.0
d_1161,Pensaba que se estaban divirtiendo con mi actuación hasta que alguien bostezó. Seguro que fue muy aburrido,['abstracción selectiva'],"['personalización', 'sobregeneralización']",0.0
a_1354,"No parece que le haya  hecho demasiada ilusión verme, pero puede que solo sea mi impresión. No creo que tenga motivos para pensar que se ha enfadado conmigo, solo por eso",[],[],0.0
d_524,Debo centrarme únicamente en los estudios,['imperativos'],['imperativos'],100.0
d_583,debería ser más competente y actuar de forma correcta,['imperativos'],['imperativos'],100.0
d_1278,Si me siento insegura es porque puede pasar algo malo,"['razonamiento emocional', 'adivinación']",['razonamiento emocional'],50.0
d_1481,"Esta mañana me he equivocado de clase y todo el mundo se me ha quedado mirando, seguro que piensan que soy una pringada","['personalización', 'leer la mente', 'etiquetado']",['leer la mente'],33.33333333333333
a_1214,Que el médico no se acuerde de mi nombre puede ser por otros motivos. Aún así que el medico no se aucerde no significa que yo no sea importante para mucha otra gente.,[],[],0.0
d_1014,"eso no lo podré soportar, seguro, será demasiado","['catastrofismo', 'adivinación']",['adivinación'],50.0
a_1368,"Si no me presento al examen de conducir hasta que me sienta tranquilo, quizás no me presente nunca. Hay momentos en que es mejor aceptar que vamos a estar nerviosos, y hacerlo igualmente",[],[],0.0
a_330,"Puede que tenga un problema dificil de solucionar, pero esto no significa que lo vaya a tener toda la vida.",[],[],0.0
a_1169,"Es cierto que hemos perdido 2 partidos, pero si somos líderes, tan desastre no seremos. ",[],[],0.0
a_1046,"tengo cosas buenas, muy buenas y otras malas o muy malas, como todo el mundo",[],['pensamiento absolutista'],0.0
d_705,Mi hijo es un caradura,['etiquetado'],['etiquetado'],100.0
a_417,No puedo saber si mi familia quiere que me vaya de casa si no me lo han dicho nunca.,[],[],0.0
d_993,Seguro que llego tarde a la cita y el doctor se enfada conmigo,['adivinación'],['adivinación'],100.0
a_1015,He de tolerar ciertas cosas que no me gustan y centrarme en las que me gustan,[],['imperativos'],0.0
a_1267,"Siento que no soy bueno en mi trabajo, pero quizás los otros no lo piensen, sinó no me hubieran contratado",[],[],0.0
d_326,Siempre me pasa lo mismo,['sobregeneralización'],['sobregeneralización'],100.0
d_425,"Aunque no me lo diga, sé que no quiere casarse conmigo",['leer la mente'],['leer la mente'],100.0
a_558,"Me gusta que mi pareja sepa que me pasa algo incluso sin decirselo, pero expresar los sentimientos propios también es saludable",[],[],0.0
t_416,"Cuando quedé con mi grupo, ensayamos la canción que triunfará en el futuro.",[],[],0.0
d_477,Debería ser más bueno en mi trabajo,['imperativos'],['imperativos'],100.0
d_955,si voy de viaje irá mal,['adivinación'],"['adivinación', 'catastrofismo']",100.0
d_480,Debería haberse dado cuenta de que estoy mal y no seguir preguntándome ,['imperativos'],['imperativos'],100.0
d_760,O me lo sé todo o pensarán que soy un tonto,"['pensamiento absolutista', 'etiquetado']",['pensamiento absolutista'],50.0
a_945,"he cambiado en muchas cosas a lo largo de mi vida, y puedo volver a hacerlo si me lo propongo",[],[],0.0
d_792,Si mi pareja no hace todo lo que le pido es que no me quiere,['pensamiento absolutista'],"['imperativos', 'adivinación']",0.0
a_600,Intentaré esforzarme al máximo en mi trabajo. ,[],[],0.0
a_896,es poco probable que ocurra algo malo el rato que esté fuera de casa,[],[],0.0
a_339,"Ha sido una discusion fuerte, tendremos que hacer algo para recuperar la buena relación",[],['imperativos'],0.0
a_960,si me rodeo de gente es menos probable que me sienta sola,[],[],0.0
a_1229,"Que estudie más o menos no depende únicamente de mí, por lo que su suspenso no quiere decir que sea un mal padre",[],[],0.0
d_883,aunque me esfuerce voy a equivocarme ,['adivinación'],"['adivinación', 'catastrofismo']",100.0
d_458,Sé que me estan mintiendo y engañando,['leer la mente'],['leer la mente'],100.0
a_958,"si trabajo día a día para crear el hábito, es menos probable que deje de tomarme la medicación",[],[],0.0
d_898,"aún haciéndolo lo mejor posible, sé que no será suficiente",['adivinación'],"['adivinación', 'catastrofismo']",100.0
a_888,cuando me he esforzado en el pasado he conseguido cosas que parecían imposibles,[],[],0.0
a_1008,"Si pasa algo, estaré para apoyarla",[],[],0.0
a_596,Me gustaria que mi familia fuese más comprensiva en lo que me pasa,[],[],0.0
a_740,Que me quieran no depende de cómo hago las cosas ,[],[],0.0
a_1048,Muchas veces incluso en el peor supuesto hay alguna otra alternativa,[],[],0.0
a_914,Ahora mismo no tengo la certeza para pensar que algo malo pueda pasar,[],[],0.0
t_218,Todos están contentos hoy,[],[],0.0
d_1150,Hoy hubiese sido un gran día si no fuera porque el gimnasio estaba cerrado. ,['abstracción selectiva'],['sobregeneralización'],0.0
a_1367,"Puede que no lo consiga perdonar por muchos motivos. Quizás porque me ha hecho algo muy malo, porque es muy reciente, porque era inesperado... No tengo porqué ser una mala persona",[],[],0.0
a_976,Si le cuento con detalle y calam todo a mi hermano es probable que me acabe comprendiendo como otras veces.,[],[],0.0
a_897,ahora estoy en una buena época y si sucede algún contratiempo podré enfrentarlo de forma competente,[],[],0.0
t_266,Para poder ir al baño tengo que consumir algo en el bar,[],[],0.0
d_751,O acepto las opiniones de los demás o me rechazarán ,['pensamiento absolutista'],['pensamiento absolutista'],100.0
a_1444,Que me haya quemado una vez no me convierte en una despistada,[],[],0.0
d_680,mi madre es irritante,['etiquetado'],['etiquetado'],100.0
a_636,Mi mujer es muy insistente en algunos temas,[],[],0.0
d_1500,Debería haber sabido que mi padre no estaba bien y haberlo llevado antes al médico,['personalización'],['imperativos'],0.0
t_474,Mi compañero me ha mirado con aprobación,[],[],0.0
d_372, Estoy seguro de que caigo mal a mis compañeros de trabajo.,['leer la mente'],['leer la mente'],100.0
a_526,"Ahora estoy con mis amigos y quiero disfrutar de ellos, en otro momento dedicaré el tiempo a estudiar",[],[],0.0
d_1403,"No quedan entradas para el concierto, debería haber sido más rápido. ","['personalización', 'imperativos']",['imperativos'],50.0
a_1074,Es mejor no anticipar lo que no sabemos si va a pasar. Si realmente pasa algo malo tendré soporte y capacidades para afrontarlo,[],[],0.0
a_818,Los demás pueden estar orgullosos de mi sin que tenga que ser la mejor,[],[],0.0
a_624,En ocasiones cuando se juntan mis amigos se me hace dificl aguatar la situación,[],[],0.0
t_340,Puede que tenga malos momentes,[],[],0.0
d_500,Tengo que tener más iniciativa,['imperativos'],['imperativos'],100.0
d_636,mi mujer es inaguantable,['etiquetado'],['etiquetado'],100.0
a_1434,Si mi padre se enfada con mi hermana no tiene porque tener que ver conmigo,[],[],0.0
d_1180,He sacado mala nota en un examen. Soy un estudiante pésimo.,['abstracción selectiva'],"['sobregeneralización', 'etiquetado']",0.0
d_806,Si me relajo perderé el control sobre las cosas y no saldrán bien ,['pensamiento absolutista'],"['pensamiento absolutista', 'adivinación', 'catastrofismo', 'sobregeneralización']",100.0
d_954,voy a hacer mal el trabajo,['adivinación'],"['adivinación', 'catastrofismo']",100.0
d_1129,"¿Y si salgo a la calle y tengo un accidente? Hay muchos peligros actualmente en la ciudad, es horroroso",['catastrofismo'],['sobregeneralización'],0.0
t_415,Dice que la cita la quiere posponer para el próximo viernes y a mí me va genial. ,[],[],0.0
d_516,Tengo que estar siempre guapo por si me encuentro a alguien,['imperativos'],['imperativos'],100.0
a_1509,Desconozco el motivo del porque ha preparado verdura mi madre,[],[],0.0
a_910,hasta que no lo haga no se si cumpliré sus expectativas,[],[],0.0
d_1409,"Mi vuelo se ha cancelado, debería haberlo previsto.","['personalización', 'imperativos']",['imperativos'],50.0
a_355,no puedo saber lo que piensan de mi si no les pregunto. Puede ser que en ocasiones les haya defraudado. ,[],[],0.0
a_761,"Ser buena persona es algo relativo, cada quien me querrá por lo que esa persona considere",[],[],0.0
t_472,"Mi compañero me ha mirado mal, yo no le he hecho nada",[],['leer la mente'],0.0
d_269,Nunca seré una buena madre,"['sobregeneralización', 'adivinación']",['sobregeneralización'],50.0
d_1467,"Durante la comida mi madre y mi hermana se han mirado y se han puesto a reir, seguro que se estaban burlando de mi",['personalización'],['leer la mente'],0.0
d_676,soy un tacaño,['etiquetado'],['etiquetado'],100.0
a_551,"Para mi la familia es fundamental, pero también es importante cuidar de mí misma",[],[],0.0
a_1347,"Me siento nerviosa, es una sensación desagradable pero la charla puede ir bien igualmente",[],[],0.0
d_1404,"No he conseguido todos los objetiovs que quería, debería haber aprovechado más mi vida.","['personalización', 'imperativos']",['imperativos'],50.0
d_1389,"Siento mucha ansiedad, esto es que le va a pasar algo malo de verdad","['razonamiento emocional', 'adivinación']","['razonamiento emocional', 'adivinación', 'catastrofismo']",100.0
a_749,Para estar saludable necesito comer lo adecuado,[],[],0.0
d_781,"Si no tengo muchos ""me gusta"" en mis redes sociales no le gusto a nadie ",['pensamiento absolutista'],['pensamiento absolutista'],100.0
a_269,Haber cometido errores no me convierte en una mala madre,[],[],0.0
a_612,Si inetnto hacer las cosas con más calma seguramente la mayoria de cosas me saldran mejor,[],[],0.0
a_1103,"Será mejor que me calme y haga unas respiraciones tranquila, seguramente sea ansiedad",[],[],0.0
a_758,Que me quieran no depende de cómo estoy,[],[],0.0
d_1029,"He sido el peor del partido, me echarán del equipo",['catastrofismo'],"['sobregeneralización', 'catastrofismo', 'adivinación']",100.0
d_666,mis amigos son unos falsos,['etiquetado'],['etiquetado'],100.0
a_451,Puede que piensen que tengo dificultades de afrontamiento.,[],['leer la mente'],0.0
d_606,"Mi amiga es muy egoísta, piensa solo en ella",['etiquetado'],['etiquetado'],100.0
a_1129,"Siempre nos pueden pasar cosas, si me centro solo en los posibles peligros nunca podria salir de casa. Todos salimos constantemente y no tenemos accidentes a diario.",[],[],0.0
d_1183,"Cuando quedé con el grupo, me saludaron todos menos una persona. Seguramente piensan que no pinto nada aquí. ","['abstracción selectiva', 'leer la mente']","['leer la mente', 'sobregeneralización', 'adivinación']",50.0
a_1440,No puedo sacar la conclusion de que lo hace para molestarme,[],[],0.0
d_264,Jamás tendré éxito en la vida ,['sobregeneralización'],"['sobregeneralización', 'catastrofismo']",100.0
d_941,me sentiré mal si quedo con mi pareja,['adivinación'],['adivinación'],100.0
a_640,En ocasiones mi amigo cuenta cosas que no son del todo ciertas,[],[],0.0
d_569,"No debería salir de casa, me puede pasar algo malo",['imperativos'],"['adivinación', 'catastrofismo', 'imperativos']",100.0
d_1167,He contado un chiste y se han reído todos menos mi suegro. Me he sentido ridículo,['abstracción selectiva'],"['etiquetado', 'sobregeneralización']",0.0
t_464,Me sientiría vulnerable si los demás se aprovecharan de mí,[],['adivinación'],0.0
d_1472,"Mi pareja se ha olvidado de pagar la factura del agua, debí haberselo recordado.","['personalización', 'imperativos']",['imperativos'],50.0
a_1090,Seguramente podré hacer algo para subsanar el hecho de no haber podido ir,[],[],0.0
a_541,Todos somos diferentes y tenemos reacciones diferentes ante la vida. Hay gente que nos entenderá y otra a quien le costará más trabajo.,[],[],0.0
d_1303,Si me siento enfadado es porque todo el mundo va en mi contra,['razonamiento emocional'],['razonamiento emocional'],100.0
d_667,mi tía es una cotilla,['etiquetado'],['etiquetado'],100.0
d_484,"No debo cometer errores, son signos de debilidad",['imperativos'],['imperativos'],100.0
a_238,"Si me esfuerzo, tengo opciones de cambiar",[],[],0.0
d_1508,"Cuando he subido al vagón de tren estaba muy lleno y he chocado con una señora, seguro que han pensado que estaba haciendo el ridículo","['personalización', 'leer la mente']","['leer la mente', 'sobregeneralización']",50.0
d_1485,"Le he contagiado el covid a mis abuelos y estan muy enfermos, es culpa mía, no debí haber ido a verlos.",['personalización'],"['imperativos', 'personalización']",100.0
a_1386,"No he visto a mis padres muy contentos cuando les he dado la noticia, es posible que tuviera demasiadas expectatives sobre su reacción, intentaré intender por que han reaccionado asi",[],[],0.0
a_750,"Mi felicidad no depende exclusivamente de como sea yo fisicamente, puedo no estar delgada y ser feliz",[],[],0.0
d_540,Los demás deberían hacerme caso,['imperativos'],['imperativos'],100.0
t_260,Tengo que ser más flexible si quiero tocarme los dedos del pie con la mano,[],['imperativos'],0.0
a_1053,"iré a por todas en el examen, luego ya veremos lo que pasa",[],[],0.0
a_599,"Mi hermana es diferente a mi y hace las cosas a su manera, podria hablar con ella  cuando las cosas que hace me molesten.",[],[],0.0
a_857,"Son mis amigos, seguro que pueden entender que no siempre este disponible por WhatstApp, todo tenemos otras cosas importante que hacer. ",[],[],0.0
a_462,Yo pienso que estoy gorda y esto me hace creer que todo el mundo piensa lo mismo,[],"['leer la mente', 'razonamiento emocional']",0.0
d_1028,Me saldrá increíblemente mal la exposición y esto será horroroso,"['catastrofismo', 'adivinación']","['adivinación', 'catastrofismo']",100.0
d_413,No hablo en grupo porque pensarán que lo que digo es una estupidez.,['leer la mente'],"['leer la mente', 'adivinación']",100.0
t_401,Seguro que no volvemos más a este restaurante. Deja bastante que desear,[],['adivinación'],0.0
d_384,"Sé que en el fondo, mis padres desearían que no hubiese nacido",['leer la mente'],['adivinación'],0.0
d_1489,Si mi madre está en el hospital es porque no recé sufiente,['personalización'],['personalización'],100.0
a_406,Creo que no le caigo bien a mi primo. Le preguntaré para salir de dudas.,[],[],0.0
a_944,si empiezo a cuidarme y a comer sano es posible que instaure hábitos más saludables y mejore mi relación con la comida,[],[],0.0
d_468,"A mi jefe no le gusta mi trabajo, debe pensar que no sirvo para esto",['leer la mente'],"['leer la mente', 'sobregeneralización']",100.0
a_1227,Que me diga que tenga cuidado no significa que no se fíe de mí.,[],[],0.0
a_959,"en el pasado ya conseguí los objetivos que me propuse, ahora puedo volver a hacerlo ",[],[],0.0
a_303,Que no lo haya echo bien no quiere decir que no lo pueda hacer bien en otras ocasiones,[],[],0.0
d_1182,"Dice que en la cita se sintió cómoda, pero noté que dije algo que no le gustó. Seguramente no quiera volver a quedar conmigo ","['abstracción selectiva', 'leer la mente']","['personalización', 'adivinación', 'leer la mente']",50.0
a_860,Si tienen ganas de conocerme van a querer salir más conmigo aunque el primer día me hayan visto más distante.,[],[],0.0
a_1088,"No tiene porque pasarles nada malo, de todas formas puedo intentar estar preparado para lo que pueda suceder",[],[],0.0
a_433,"Puede que piensen que soy un vago; no obstante, nunca me lo han dicho.",[],[],0.0
a_998,"Es mejor que no anticipe como me va a ir el día y vaya haciendo sobre la marcha, así puedo llegar a la noche más tranquila",[],[],0.0
a_305,No hay ningún hombre igual a otro,[],['sobregeneralización'],0.0
a_211,Mis padres no me prestan la atencion que me gustaria,[],[],0.0
a_371,Que esté enfadado conmigo no significa que vaya a despedirme.,[],[],0.0
d_918,"aunque he aprobado el parcial, sé que no aprobaré el curso",['adivinación'],['adivinación'],100.0
a_811,Puedo sentirme realizado y tener éxito aunque no sea el mejor en todo,[],[],0.0
a_695,Las cosas que me aterran me resultan difíciles de afrontar,[],[],0.0
a_1039,"visto con distancia, no fue para tanto y evoluciné mucho como persona",[],[],0.0
t_443,"Mi abuelo murió hace un mes y mi madre está triste desde entonces, ella también morirá algún dia ",[],[],0.0
a_292,Puede haber algunas situaciones que considere injustas,[],[],0.0
a_766,Es importante esforzarse en las cosas que queremos conseguir,[],[],0.0
d_1002,"Será el fin, algo insoportable",['catastrofismo'],"['catastrofismo', 'adivinación']",100.0
d_888,me irá mal aunque me esfuerce,['adivinación'],['adivinación'],100.0
a_1016,"Puede que las lluvias afecten a la cosecha, tendré que estar atento, algo podré hacer para que no sea tan grave",[],['imperativos'],0.0
t_457,"Creo que algo saldrá mal, si sale mal, que putada.",[],['adivinación'],0.0
a_285,Hay algunas cosas con las que puedo disfrutar,[],[],0.0
t_403,"Han venido todos menos mi suegro, que estaba ocupado.",[],[],0.0
t_423,Si algo me preocupa significa que le doy importancia,[],[],0.0
t_386,Soy una persona que ha perdido un bolígrafo,[],[],0.0
a_319,"Que no se me den bien ahora los deportes, no quiere decir que no pueda aprender",[],[],0.0
d_715,soy despreciable,['etiquetado'],['etiquetado'],100.0
a_648,"Hay ciertas actividades que no me gustan, en otras me divierto",[],[],0.0
d_546,Mis padres deben cuidar de mí,['imperativos'],['imperativos'],100.0
a_1319,"Me siento culpable, pero puedo analizar bien que ha pasado para ver si realmente ha sido mi culpa o no",[],[],0.0
d_651,no soy divertido,['etiquetado'],['etiquetado'],100.0
a_228,"Para depende que cosas, no se puede confiar en todo el mundo",[],[],0.0
d_337,Continuamente me equivoco ,['sobregeneralización'],['sobregeneralización'],100.0
d_1322,"No me siento guapa con esta ropa, me debe quedar fatal","['razonamiento emocional', 'catastrofismo']",['razonamiento emocional'],50.0
a_555,"Para mi estar con mi familia es lo más importante, aunque estar con mis amigos es también positivo",[],[],0.0
t_435,Me siento enfadado y tengo motivos para estarlo,[],[],0.0
d_333,Jamás aprobaré el curso,['sobregeneralización'],"['sobregeneralización', 'adivinación', 'catastrofismo']",100.0
d_208,Siempre me encuentro mal,['sobregeneralización'],['sobregeneralización'],100.0
d_423,"En el fondo, mi jefe piensa que soy un fracaso a nivel profesional",['leer la mente'],['leer la mente'],100.0
d_232,Nunca hago suficiente,['sobregeneralización'],['sobregeneralización'],100.0
d_685,mis hijas son irritantes,['etiquetado'],['etiquetado'],100.0
d_1416,"Mi amiga me ha dicho que le gusta mucho mi falda, seguro que me tiene envidia.",['personalización'],['leer la mente'],0.0
a_328,A veces hago el ridiculo,[],[],0.0
t_427,"Hoy me siento genial, por fin llegó el gran día",[],['razonamiento emocional'],0.0
d_379,"Sé que en el fondo, mi pareja no confía en mí",['leer la mente'],['leer la mente'],100.0
a_1376,"Si no vas confiado al examen, vas a estar más nervioso, pero puedes aprobarlo igualmente",[],[],0.0
a_779,"Decir que no a los demás es poner límites, no implica que me vayan a rechazar",[],[],0.0
d_566,Debo mantener relaciones sexuales con mi pareja más a menudo,['imperativos'],['imperativos'],100.0
d_1454,"En el comedor habia mucha gente riendose, notaba como todos me criticaban con la mirada",['personalización'],['leer la mente'],0.0
a_1242,"Me molestó que la gente gritase, pero no me fastidió el día como tal. ",[],[],0.0
a_1281,"Puede que algo sea importante y no le preste atención, y por lo tanto no me preocupe en ese momento. La importancia de algo y mi nivel de preocupación no siempre van a la par",[],[],0.0
d_367,"Sé que en el fondo, mis amigos quieren verme fracasar",['leer la mente'],"['adivinación', 'sobregeneralización']",0.0
d_655,mi marido es un avaricioso,['etiquetado'],['etiquetado'],100.0
t_441,Si estoy en un sitio inseguro me puede pasar algo malo,[],[],0.0
a_962,"He ido a diferentes cenas con ellos y hemos estado agusto, puede ser igual esta vez",[],[],0.0
d_880,"prefiero no ir, sé que no me lo pasaré bien",['adivinación'],['adivinación'],100.0
a_511,"No me apetece mucho hacer cosas con mis amigos, pero si lo hago es posible que lo pase bien, podría intentarlo",[],[],0.0
a_1271,"Hoy me siento triste, por lo que es más probable que valore las cosas que me pasan de manera negativa",[],[],0.0
d_1052,"mi novio me engaña, es una situación insoportable, terrible",['catastrofismo'],['catastrofismo'],100.0
a_714,"Cuando mi amiga tiene un problema, le cuesta hablar de otra cosa",[],[],0.0
a_748,"A veces puedo no saber qué hacer,  puedo preguntar y aprenderlo",[],[],0.0
t_329,Que alguien que es importante para ti no te conteste un mensaje es una situación desagradable,[],[],0.0
a_955,el ir de viaje es una oportunidad para vivir nuevas experiencias,[],[],0.0
d_304,Siempre cometeré el mismo error,['sobregeneralización'],"['sobregeneralización', 'adivinación']",100.0
d_965,Por más que estudie ésta asignatura seguro que no saco buena nota,['adivinación'],['adivinación'],100.0
a_1421,No puedo saber si las criticas estan dirigidas a mi,[],[],0.0
d_1456,"Cuando las cosas no van bien, siempre pienso que es mi culpa",['personalización'],['personalización'],100.0
d_1375,Si me he enfadado es porque tenía razón yo,['razonamiento emocional'],['razonamiento emocional'],100.0
d_1296,"Si no te sientes con fuerzas, no lo vas a conseguir","['razonamiento emocional', 'adivinación']",['abstracción selectiva'],0.0
a_785,Me arreglo para mi y sentirme a gusto conmigo,[],[],0.0
d_1308,"Me da miedo confiar en la gente, así que no debo hacerlo.","['razonamiento emocional', 'imperativos']",['imperativos'],50.0
a_616,Puedo ser muy útil en algunas cosas,[],[],0.0
d_1048,eso sería lo peor del muno,['catastrofismo'],['catastrofismo'],100.0
a_1096,Son mis amigo de siempre pueden entender que no me apetezca salir tanto durante una temporada,[],[],0.0
t_368,"Mi hermano siempre dice hola al saludarme, pero ayer me dijo buenos días, esta muy contento",[],['abstracción selectiva'],0.0
a_1420,No puedo saber hacia quien van dirigidas las quejas,[],[],0.0
d_884,seguro que pierdo la carrera,['adivinación'],"['sobregeneralización', 'adivinación']",100.0
a_802,Llamarla no influye en las cosas que le pueden pasar,[],[],0.0
d_233,Nunca soy suficientemente bueno ,['sobregeneralización'],['sobregeneralización'],100.0
d_826,O encontramos hoy una solución o no podemos seguir juntos en esto,['pensamiento absolutista'],['pensamiento absolutista'],100.0
d_931,estoy convencido de que nadie me entenderá,['adivinación'],"['leer la mente', 'adivinación']",100.0
d_703,Ella es una maleducada,['etiquetado'],['etiquetado'],100.0
a_257,Haber tenido un mal día no convierte en todos los días malos,[],[],0.0
t_418,Lo pasé fatal cuando me dejaron pero fue una sabia decisión.,[],[],0.0
d_600,Tengo que hacer mejor mi trabajo,['imperativos'],['imperativos'],100.0
a_956,"si ahora me centro en preparar la prueba, es menos probable que vaya mal",[],[],0.0
d_262,La gente siempre pasa de mí ,['sobregeneralización'],"['leer la mente', 'sobregeneralización']",100.0
a_407,"Quizás mis padres piensan que no conseguiré lo que me propongo, pero no estoy seguro ya que nunca me lo han dicho.",[],[],0.0
a_1470,"Por mucho que hubiera estudiado más, tal vez hubiese suspendido igual",[],[],0.0
d_1265,Si no siento que merezca ser querido será porque realmente no lo merezco,"['razonamiento emocional', 'pensamiento absolutista']",['razonamiento emocional'],50.0
d_1104,"Ya es tarde para hacer cualquier cosa, no hay solución",['catastrofismo'],['catastrofismo'],100.0
d_1092,"He intentado resolver mi problema y no he podido, así que esto ya no tiene solución",['catastrofismo'],[],0.0
a_1447,Puede que no me miren por otras razones o puede que me miren y yo no me entere.,[],[],0.0
t_290,Si no consigo hacer una buena fotografía de mi ciudad no la querrán dentro de la exposición,[],['pensamiento absolutista'],0.0
d_809,Si no hago todo con él me dejará por otra,['pensamiento absolutista'],"['pensamiento absolutista', 'adivinación']",100.0
a_1399,Que Juan hable con más gente no implica que sea más sociable,[],[],0.0
a_1187,Tan mal no lo hice si la mayoría reconoció mis resultados,[],[],0.0
a_396,Puede que mi novio piense que soy un inmaduro.,[],[],0.0
a_890,hasta que no lo haga no puedo saber cómo me sentiré ,[],[],0.0
a_1375,"Me he enfadado, y siento que es porque tenía razón yo, pero supongo que él tambien tenia parte de razón. Cuando me calme lo veré todo más claro.",[],[],0.0
d_1504,"He propuesto a mis amigas quedar un día de la semana que viene y nadie puede, seguro que no quieren verme","['personalización', 'abstracción selectiva']","['leer la mente', 'sobregeneralización', 'adivinación']",0.0
a_675,Siento que mi marido a veces puede parecer que no se preocupa por nosotros,[],[],0.0
d_1339,Me siento irritable hoy por lo que todo a mi alrededor está muy mal.,"['razonamiento emocional', 'catastrofismo']",['razonamiento emocional'],50.0
a_1130,Mis padres mevaloran en otros aspectos. SI peinso puedo encontrar multiples ejemplos donde reconocen mis esfuerzos.,[],[],0.0
d_1097,Impossible que fuese peor la comida con mis padres.,['catastrofismo'],['catastrofismo'],100.0
a_313,Puede haber gente a la que le parezca más simpático que a otros,[],[],0.0
d_736,"Soy el más tonto de la oficina, todos van abanzando y yo me quedo atrás",['etiquetado'],['etiquetado'],100.0
d_1012,será horroso,"['catastrofismo', 'adivinación']",['catastrofismo'],50.0
t_225,Mi amigo siempre piensa antes de hablar,[],['sobregeneralización'],0.0
d_485,No debo mostrarme vulnerable ante los demás,['imperativos'],['imperativos'],100.0
d_291,A nadie le caigo bien ,['sobregeneralización'],"['sobregeneralización', 'leer la mente']",100.0
t_312,Me esperan momentos duros,[],['adivinación'],0.0
