Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
18,"prefiero no hacerlo, seguro que me sale mal",Adivinación,,,,,,sin hacerlo no puedo saber cuál será el resultado,no voy a gustarle a todo el mundo,,"Me he peleado varias veces con mis padres y eso hace que no me fíe de ellos. Quieren venir a visitarme y mi madre lleva una temporada que parece que se preocupa por mí aunque estoy seguro de que si les pido ayuda, lo aprovechará para hacerme sentir incompetente.",,"Aunque la relación con mis padres ha tenido altos y bajos, parece que desde hace un tiempo mi madre se preocupa por mí bienestar. Ahora que vienen a visitarme y podría pedirles ayuda, quizás así me sentiré menos solo."
19,si voy a la fiesta voy a ser el hazmerreir ,Adivinación,,,,,,"me lo pasé genial en otras fiestas, quizás en esta disfrute del momento también",es posible que me vaya mal la primera vez que haga algo,,"Tengo que ir a la cena de Nochevieja y no me apetece nada, va toda la familia, primos que hace tiempo que no veo, mis tíos... No me apetece nada ir porque me sentiré mal con tanta gente a mi alrededor.",,"Llega la cena de Nochevieja y vienen mis tíos, mis primos y amigos de la familia que hace tiempo que no veo. Creo que será una buena oportunidad para volver a disfrutar todos juntos aunque quizás me sienta algo nervioso."
20,"me gustaría quedar con él, pero estoy convencido de que no querrá",Adivinación,,,,,,"voy a intentar quedar con él, no puedo saber que querrá si no le pregunto",irá mal en ocasiones,,"La vida está siendo complicada, he intentado poner solución pero cuando empiezo a estar bien, siempre ha ocurrido algo que me ha hecho estar mal. He acabado aprendiendo que me irá mal haga lo que haga.",,"Aunque he pasado momentos complicados en la vida, he ido poniendo soluciones con mayor o menor acierto. He aprendido que en el futuro quizás me pasen cosas, y que seré capaz de afrontarlas como las afronté en el pasado."
21,seguro que decepcionaré a mis padres,Adivinación,,,,,,el concepto que tienen mis padres de mí no depende de un solo hecho,me sentiré diferente según las circunstancias,,,,
22,sé que no pasará las pruebas,Adivinación,,,,,,"se ha preparado mucho y es muy capaz, puede pasar estas pruebas",sé que puedo conseguir cosas si me esfuerzo,,,,
23,prefiero no intentarlo porque sé que suspenderé,Adivinación,,,,,,"hasta que no lo intente no puedo saber el resultado, lo haré lo mejor posible",voy a estar agotado si no duermo ,,,,
24,he decidido no hacerlo porque sé que fallaré,Adivinación,,,,,,es mejor probar y ver qué ocurre a desistir sin intentarlo,después de un gran esfuerzo voy a estar cansado,,,,
25,aunque quede con los amigos me sentiré solo,Adivinación,,,,,,cuando estoy con amigos es posible que pueda disfrutar el momento,"si hay algo importante en juego, me sentiré nervioso",,,,
26,voy a estar siempre mal,Adivinación,,,,,,"ha habido momentos mejores, puede volver a cambiar, no es algo fijo","cuando vaya a la fiesta, voy a centrarme en disfrutar el momento",,,,
27,sé que estaré siempre solo,Adivinación,,,,,,"podría conocer gente otra vez si me lo propongo, ya lo hice en el pasado",sé que fracasaré en ocasiones,,,,
28,aunque lo intente me sentiré peor,Adivinación,,,,,,"si lo intento podría ir bien, puedo darme esa oportunidad",estoy convencido de que cambiarán cosas con el tiempo,,,,
29,sé que las cosas empeorarán,Adivinación,,,,,,cuando actúo en dirección a mis valores es muy posible que se produzcan cambios a mejor,sé que no podré controlarlo todo,,,,
30,voy a perder a mis amigos,Adivinación,,,,,,"mis amigos han estado a mi lado en otras ocasiones complicadas, son una fuente de apoyo",estoy seguro de que las cosas pueden cambiar,,,,
31,voy a quedarme solo,Adivinación,,,,,,"siempre he tenido gente a mi lado, puedo seguir cuidando estas relaciones e incluso conocer más gente","Sé que mi nuevo vecino no me invitará a cenar, me ha dicho que no le gustan las fiestas",,,,
32,"aunque ahora estoy bien, sé que volveré a estar mal",Adivinación,,,,,,hasta ahora he mejorado y si me sigo cuidando puedo mejorar aún más ,,,,,
33,"prefiero no ir, sé que no me lo pasaré bien",Adivinación,,,,,,cuando hago cosas nuevas puedo enriquecer mi vida,,,,,
34,para que intentarlo si voy a fallar,Adivinación,,,,,,si lo intento quizás lo logre,,,,,
35,por mucho que me esfuerce sé que recaeré,Adivinación,,,,,,"con esfuerzo es muy posible que continúe abstinente, y aunque falle, puedo volver a intentarlo",,,,,
36,aunque me esfuerce voy a equivocarme ,Adivinación,,,,,,si me esfuerzo es menos probable equivocarse,,,,,
37,seguro que pierdo la carrera,Adivinación,,,,,,entrenando duro es posible que gane la carrera,,,,,
38,"sé que fracasaré, mejor quedarme igual",Adivinación,,,,,,"cada cambio es una oportunidad, incluso fallar puede ser una oportunidad",,,,,
39,estoy convencido de que no podré,Adivinación,,,,,,"he podido superar muchas cosas en el pasado, esta podría ser una más ",,,,,
40,voy a fastidiar las vacaciones,Adivinación,,,,,,intentaré disfrutar las vacaciones sin adaptándome a las circunstancias ,,,,,
41,me irá mal aunque me esfuerce,Adivinación,,,,,,cuando me he esforzado en el pasado he conseguido cosas que parecían imposibles,,,,,
42,irá mal haga lo que haga,Adivinación,,,,,,tengo la capacidad de influir en mi vida a través de mis acciones,,,,,
43,me sentiré mal cuando lo haga,Adivinación,,,,,,hasta que no lo haga no puedo saber cómo me sentiré ,,,,,
44,sé que no me gustará,Adivinación,,,,,,para saber si me gusta debo probarlo antes ,,,,,
45,pienso que me va a ir peor si lo intento,Adivinación,,,,,,"si lo intento quizás salga bien, además cada intento pueden ser un aprendizaje ",,,,,
46,seguro que me sentiré extraño con gente nueva,Adivinación,,,,,,"aunque no me suela sentir cómodo con gente nueva, eso me abre la puerta a conocer nuevos amigos",,,,,
47,"por mucho que cambie, sé que seguiré siendo un fracasado",Adivinación,,,,,,"no siempre me he sentido un fracasado, así que es posible que en un futuro no me sienta así ",,,,,
48,"aunque todo va bien, seguro que pasa algo malo",Adivinación,,,,,,"aunque no me gustaría que pasara algo malo, si sucede podría afrontarlo con éxito",,,,,
49,estoy convencido de que algo malo pasará mientras estoy fuera de casa,Adivinación,,,,,,es poco probable que ocurra algo malo el rato que esté fuera de casa,,,,,
50,"aunque ahora estoy en una buena época, pasará algo que me irá mal",Adivinación,,,,,,ahora estoy en una buena época y si sucede algún contratiempo podré enfrentarlo de forma competente,,,,,
51,"aún haciéndolo lo mejor posible, sé que no será suficiente",Adivinación,,,,,,si lo hago lo mejor posible es posible que sea suficiente,,,,,
52,"si me conocen bien, sé que no voy a gustarles",Adivinación,,,,,,"no puedo adivinar que piensan los otros de mí, es mejor ser uno mismo y ver que sucede",,,,,
53,el examen me irá mal,Adivinación,,,,,,puedo superar el examen como pude superar otros en el pasado,,,,,
54,"no quiero hacer el examen, sé que lo suspenderé",Adivinación,,,,,,"si no hago el examen seguro lo suspendo, es preferible hacerlo y tener la oportunidad de aprobarlo",,,,,
55,estoy convencido de que me arruinaré,Adivinación,,,,,,si soy previsor y cuido mis finanzas es difícil que me arruine,,,,,
56,"aunque el negocio esté funcionando, el año que viene me va a ir mal",Adivinación,,,,,,"si aprovecho ahora que el negocio funciona para planificar los siguientes pasos, es posible que vaya bien",,,,,
57,estoy seguro de que no irá bien la cita,Adivinación,,,,,,"puedo ir a la cita sin expectativas, disfrutar el momento y ser natural, así sentiré menos presión",,,,,
58,si quedo con mi familia seguro que me juzgarán,Adivinación,,,,,,mi familia me quiere y me han apoyado en otras situaciones difíciles,,,,,
59,si cuento cómo me siento sé que no me entenderán,Adivinación,,,,,,hasta que no cuente cómo me siento no sé si me entienden o no,,,,,
60,estoy seguro que estropearé el momento,Adivinación,,,,,,la mejor forma de disfrutar el momento presente es no anticipar que pasará ,,,,,
61,no quiero ir porque me sentiré fuera de lugar,Adivinación,,,,,,hasta que no vaya no se como me sentiré ,,,,,
62,si mi pareja supiera como soy sé que me dejaría,Adivinación,,,,,,mi pareja es de las personas que mejor me conoce y justamente es por como soy por lo que está conmigo,,,,,
63,sé que no podré hacerlo como se espera,Adivinación,,,,,,hasta que no lo haga no se si cumpliré sus expectativas,,,,,
64,cuando llegue el momento estoy convencido de que no daré la talla,Adivinación,,,,,,hasta que no llegue el momento no se puede saber si daré la talla,,,,,
65,aunque pueda hacerlo estoy seguro que no lo haré bien,Adivinación,,,,,,"hacerlo es el primer paso, así me daré la oportunidad de hacerlo bien",,,,,
66,si conozco gente nueva sé que no me gustarán,Adivinación,,,,,,cuando conoces gente nueva es posible conocer a gente que encaje contigo,,,,,
67,si voy a la fiesta estoy convencido de que algo malo pasará,Adivinación,,,,,,si voy a la fiesta podría disfrutar cosas y conocer nuevos amigos,,,,,
68,por mucho que estudie sé que no servirá de nada,Adivinación,,,,,,si estudio es probable que lo haga mejor que si no estudio,,,,,
69,aunque estoy esforzándome voy a hacerlo mal,Adivinación,,,,,,si me esfuerzo ya es motivo de satisfacción sea cual sea el resultado ,,,,,
70,si me siento mal sé que no podré disfrutar de la fiesta,Adivinación,,,,,,"que ahora me sienta mal no quiere decir que en la fiesta me sienta mal, e incluso si así fuera podría disfrutar ciertos aspectos de la fiesta",,,,,
71,"aunque he aprobado el parcial, sé que no aprobaré el curso",Adivinación,,,,,,"ya he aprobado un parcial, si continúo así probablemente pueda aprobar el curso ",,,,,
72,aunque consiga el trabajo estoy convencido de que no pasaré el periodo de prueba,Adivinación,,,,,,"en el período de prueba no tengo por qué hacerlo perfecto, es una oportunidad para aprender y hacerlo cada día mejor",,,,,
73,aunque me ayuden me irá mal,Adivinación,,,,,,si me ayudan es más fácil que consiga lo que me propongo,,,,,
74,si digo lo que pienso me sentiré peor,Adivinación,,,,,,decir cómo me siento es una posibilidad para sentirme mejor,,,,,
75,estoy seguro de que no encontraré un sitio donde vivir,Adivinación,,,,,,si busco quizás encuentre un sitio donde vivir que cumpla las características que me gustarían,,,,,
76,me sentiré fatal si salgo a la calle,Adivinación,,,,,,es difícil saber cómo sentiré hasta que no salga a la calle,,,,,
77,voy a estar peor aunque quede con mis amigos,Adivinación,,,,,,al quedar con mis amigos puedo pasarlo bien y eso podría mejorar mi situación ,,,,,
78,si voy a la fiesta sé que nadie me hablará,Adivinación,,,,,,"en la fiesta puedo aprovechar para conocer gente nueva o estrechar lazos, puedo aprovechar yo e iniciar las conversaciones",,,,,
79,por mucho que me esfuerce voy a perder el trabajo ,Adivinación,,,,,,si soy responsable y cumplo las reglas lo más probable es que mantenga el empleo,,,,,
80,sé que no me darán el ascenso ,Adivinación,,,,,,si me esfuerzo y trabajo duro es posible que cuenten conmigo para el ascenso,,,,,
81,si voy a clase me sentiré extraño,Adivinación,,,,,,"aunque me sienta extraño al volver a clase, no tiene por qué ser malo",,,,,
82,sé que la gente no me aceptará si vuelvo a ir a clase,Adivinación,,,,,,si vuelvo a clase la gente quizás se sorprenda y se alegre de verme,,,,,
83,me sentiré mal si llamo a mi hermano,Adivinación,,,,,,llamando a mi hermano es posible que me sienta mejor y él se alegre,,,,,
84,estoy convencido de que nadie me entenderá,Adivinación,,,,,,si comparto mis emociones y pensamientos es más probable que alguien pueda entenderme,,,,,
85,sé que no pasaré las pruebas de acceso,Adivinación,,,,,,hasta que no haga las pruebas de acceso no se como me irán,,,,,
86,si suspendo el examen sé que no podré recuperarlo,Adivinación,,,,,,"no sé si suspenderé el examen, y si pasa aún tengo la oportunidad de recuperarlo",,,,,
87,me sentiré peor si explico lo que me pasa,Adivinación,,,,,,si explico lo que me pasa puede que me sienta más comprendido y eso me haga estar mejor,,,,,
88,sé que si voy a la excursión no dejaré de pensar en cómo estoy ,Adivinación,,,,,,si voy a la excursión es menos probable que piense sobre cómo estoy,,,,,
89,estoy convencido de que no encontraré pareja,Adivinación,,,,,,"hay mucha gente en el mundo, quizás encuentre a alguien que encaje conmigo y quiera ser mi pareja",,,,,
90,estoy seguro que nadie me querrá,Adivinación,,,,,,"ya me quisieron en el pasado, es posible que en el futuro pueda conocer gente que me quiera",,,,,
91,aunque salga puntual voy a perder el bus,Adivinación,,,,,,si voy con tiempo es menos probable que pierda el bus,,,,,
92,aunque llegue a la hora sé que me harán esperar,Adivinación,,,,,,"no se si me harán esperar, pero aunque tenga que esperar es algo que vale la pena.",,,,,
93,me sentiré fatal si voy a la entrevista,Adivinación,,,,,,"la entrevista es una oportunidad, puede ayudar a sentirme mejor y ser una oportunidad",,,,,
94,me sentiré mal si quedo con mi pareja,Adivinación,,,,,,"cuando mi pareja y yo compartimos tiempo juntos solemos disfrutar, si quedamos puede ayudar a sentirme mejor",,,,,
95,sé que no me integraré con el grupo de la uni,Adivinación,,,,,,quizás la universidad sea una oportunidad para conocer gente con la que tenga cosas en común,,,,,
96,si voy de compras me sentiré culpable,Adivinación,,,,,,"hasta que no vaya no puedo saber cómo me sentiré, es mejor probar ",,,,,
97,estoy convencido de que no podré hacer dieta,Adivinación,,,,,,si empiezo a cuidarme y a comer sano es posible que instaure hábitos más saludables y mejore mi relación con la comida,,,,,
98,sé que no puedo cambiar aunque lo intente,Adivinación,,,,,,"he cambiado en muchas cosas a lo largo de mi vida, y puedo volver a hacerlo si me lo propongo",,,,,
99,si vamos a comer voy a pasarlo mal,Adivinación,,,,,,"otras veces que salí a comer lo pasé bien, es probable que vuelva a disfrutarlo",,,,,
100,si quedo con mis amigas sé que me dejarán tirada,Adivinación,,,,,,"si quedo con mis amigas puedo pasar un buen rato, es posible que ellas también tengan ganas de verme",,,,,
101,estoy convencida de que perderemos el partido,Adivinación,,,,,,"sea cual sea el resultado del partido, lo importante es disfrutar el momento y jugar lo mejor posible",,,,,
102,me sentiré mal aunque me perdone ,Adivinación,,,,,,no puedo saber cómo me sentiré hasta que no me perdone,,,,,
103,sé que no habrá nada que yo pueda comer,Adivinación,,,,,,"es posible que haya platos que me gusten, o quizás sea una oportunidad para probar cosas nuevas",,,,,
104,no voy a pasar la entrevista de trabajo,Adivinación,,,,,,"hasta que no haga la entrevista no sabré si la paso o no, y aún sin pasarla, puedo aprender cosas para futuras entrevistas",,,,,
105,sé que mis padres se decepcionarán si me ven,Adivinación,,,,,,"mis padres me quieren y me valoran, se alegrarán de verme",,,,,
106,cuando quedemos sé que irá mal,Adivinación,,,,,,cuando quedo con gente cabe la posibilidad de pasarlo bien,,,,,
107,voy a hacer mal el trabajo,Adivinación,,,,,,"no hace falta hacer el trabajo perfecto, si me esfuerzo quizás lo consigo",,,,,
108,si voy de viaje irá mal,Adivinación,,,,,,el ir de viaje es una oportunidad para vivir nuevas experiencias,,,,,
109,la prueba me va a ir mal,Adivinación,,,,,,"si ahora me centro en preparar la prueba, es menos probable que vaya mal",,,,,
110,estoy convencida de que el médico me dará malas noticias,Adivinación,,,,,,"hasta que el médico no me de los resultados no sé si serán buenas o malas noticias, y aunque sean malas eso me permitirá buscar la mejor solución ",,,,,
111,sé que me dejaré de tomar la medicación,Adivinación,,,,,,"si trabajo día a día para crear el hábito, es menos probable que deje de tomarme la medicación",,,,,
112,estoy segura de que no haré bien lo que se espera de mí,Adivinación,,,,,,"en el pasado ya conseguí los objetivos que me propuse, ahora puedo volver a hacerlo ",,,,,
113,"voy a estar sola, aunque me rodee de gente",Adivinación,,,,,,si me rodeo de gente es menos probable que me sienta sola,,,,,
114,Por mucho que me esfuerce se que la profesora me va suspender,Adivinación,,,,,,Si me esfuerzo y dedico tiempo a estudiar es más seguro que pueda aprovar,,,,,
115,"Estoy convencida de que les voy a caer mal, mejor no voy a la cena",Adivinación,,,,,,"He ido a diferentes cenas con ellos y hemos etsado agusto, puede ser igual esta vez",,,,,
116,"Me va a salir mal, lo sé",Adivinación,,,,,,Tengo que probarlo para saber como me va a salir,,,,,
117,Mejor no me saco el carné de conducir porque seguro que tengo un accidente,Adivinación,,,,,,Si tengo carné de conducir y conduzco de forma precavida no tiene porque pasarme nada,,,,,
118,Por más que estudie ésta asignatura seguro que no saco buena nota,Adivinación,,,,,,Si me esfuerzo en estudiar es más probable que pueda aprovar,,,,,
119,He invertido poco tiempo en ello y sé que mi jefe me criticará,Adivinación,,,,,,"Aunque haya invertido menos tiempo del que pensaba, si el trabajo está bien le va a gustar a mi jefe.",,,,,
120,"En el cumpleaños, haré el ridiculo y pasaré mucha verguenza, ya lo sé, siempre es así",Adivinación,,,,,,"No puedo saber como irá el cumpleaños antes de ir, he ido a otros y me lo he pasado bien.",,,,,
121,Estoy segura que por mucho que haga dieta me voy a sentirme mal con mi cuerpo,Adivinación,,,,,,Puede que haciendo dieta mejora la imagen que tengo de mi cuerpo.,,,,,
122,Mis padres no ve van a comprender nunca,Adivinación,,,,,,Si hablo con ellos y les explico mi pnto de vista es probable que ellos inenten entenderme,,,,,
123,"Al final me ha dejado, ya sabía que no me merecía una persona como ella, es demasiado para mi",Adivinación,,,,,,"No podemos saber con anteacion lo que va a ocurrir en una relación, influyen muchas cosas",,,,,
124,"Me va a ir mal en este examen, para variar",Adivinación,,,,,,"Puede que me vaya mal en el examen, pero si me lo preparo es más probable que aprueve. ",,,,,
125,"Mejor hazlo tu, si lo hago yo seguro que me equivoco y destrozo el dibujo",Adivinación,,,,,,Puede que me equivoque en el dibujo pero si no lo pruebo no lo sabré,,,,,
126,Hoy hay comida familiar seguro que me acaban todos criticando mi estilo de vida,Adivinación,,,,,,"Algunas veces cuando estoy con mi familia me siento ctiricado, pero no siempre es así y hoy no sé como irá.",,,,,
127,"Me sentiré agobiada si accepto ir con mis amigos de fiesta, me entrara ansiedad ya lo sé",Adivinación,,,,,,Tengo que probar ir de fiesta con ellas para saber como me sentire. Si no estoy agusto siempre puedo irme a casa.,,,,,
128,Haga lo que haga no puede funcionar el negocio,Adivinación,,,,,,"Puede que si busco ayuda experta el negocio vaya bien, tengo que probar para saber que passará.",,,,,
129,"Mejor no se lo cuento, porque seguro que ésta vez me siento incomprendido por mi hermano.",Adivinación,,,,,,Si le cuento con detalle y calam todo a mi hermano es probable que me acabe comprendiendo como otras veces.,,,,,
130,Estoy seguro que mi pareja ya no me quiere,Adivinación,,,,,,Tengo la sensación que mi pareja me quiere menos. Algo ha cambiado en la relación.,,,,,
131,Se que aunque estudie me pondré nervioso en el examen,Adivinación,,,,,,Si estudio mucho y me siento bien preparado es más facil que no me ponga nervioso ante el examen.,,,,,
132,Estoy seguro que aunque me prepare muy bien la exposición me voy a equivocar en algun punto,Adivinación,,,,,,Cuanto más seguro me sienta del contenido de la exposición más facil es que me salga bien,,,,,
133,Me entistece saber que el entrenador no me va a convocar en el siguiente partido,Adivinación,,,,,,"No puedo saber con antelación lo que va a hacer el entrenador, tendré que esperar a ver a quein convoca.",,,,,
134,"Mi equipo va a perder el partido por culpa de mis mismos errores de siempre, soy un desastre",Adivinación,,,,,,"Intentaré estar muy atento y concentrado en este partido para evitar mis errores, el partido puede ir genial.",,,,,
135,Seguro que fallo el penalti,Adivinación,,,,,,No puedo sber que pasará antes de chutar.,,,,,
136,Se que mis compañeros de trabajo me estan evitando porque les parezco un pesado,Adivinación,,,,,,Tengo la sensación de que les parezco pesado a mis compañeros de trabajo. Pero realmente nunca me lo han dicho.,,,,,
137,Estoy convencida que esta vez tampoco podré cumplir mis propositos de año nuevo,Adivinación,,,,,,"Intentaré este año cumplir mis objetivos, a ver como va.",,,,,
138,Si salgo a la calle me va a dar un ataque de panico seguro,Adivinación,,,,,,"Puede que al salir a la calle me de un ataque de ansiedad, pero en muchas ocasiones he salido y no ha pasado nada.",,,,,
139,Si dejo este trabajo nunca voy a encontrar nada,Adivinación,,,,,,No puedo saber con antelación lo que va a pasar. Si no me siento bien puedo dejar este trabajo y buscar otro.,,,,,
140,"Si no me aguanto ni yo, mi pareja no me va a aguantar y me dejará seguro",Adivinación,,,,,,Tengo la sensacion que mi pareja se cansará de mi en algun momento y me dejará.,,,,,
141,Si no me dan esta beca seguro que tengo que irme a otro sitio.,Adivinación,,,,,,Intentaré hacer lo que esté en mi mano para conseguir esta beca que quiero y sinó ya veré que otras opciones puedo tener.,,,,,
142,Creo que lo tengo todo preparado pero seguro que en el ultimo momento me dejo algo importante,Adivinación,,,,,,Puedo repasar todo lo que necesito y así estoy más segura de lo que estoy haciendo.,,,,,
143,Se que me voy a equivocar en la entrevista,Adivinación,,,,,,"Puede que me equivoque en algun momento de la entrevista, pero de ser así no pasaria nada grave.",,,,,
144,Seguro que haga lo que haga no le va a gustar a mi padre,Adivinación,,,,,,No puedo saber lo que va a pensar mi padre de mi antes que hacer nada.,,,,,
145,"Ya sé que el lunes no me voy a poder levantar de la cama, soy una vaga",Adivinación,,,,,,Intentaré el lunes esforzarme para poder levantarme de la cama a la hora que toca.,,,,,
146,Seguro que llego tarde a la cita y el doctor se enfada conmigo,Adivinación,,,,,,Puedo salir antes y así ir con tiempo tranquila.,,,,,
147,Mejor me quedo en casa porque si voy lo unico que haré será sentirme mal,Adivinación,,,,,,No puedo predecir como me voy a sentir en una situación que no he vivido.,,,,,
148,Me aislo del mundo porque solo puede hacerme daño,Adivinación,,,,,,"puede que haya cosas que te ayuden y te faciliten estar mejor, solo lo podremos saber si lo intentamos sin aislarnos.",,,,,
149,"sé que no voy a aprobar el examen, aunque haya estudiado mucho",Adivinación,,,,,,"he estudiado mucho, lo más seguro es que pueda aprovar el examen",,,,,
150,"aunque ahora mismo estoy bien, estoy convencida de que va a pasar algo malo",Adivinación,,,,,,No podemos predecir lo que pueda pasar en el futuro,,,,,
,Catastrofismo,,,,,,,,,,,,
1,No podría haber ido peor,Catastrofismo,,,,,,"Ha ido mal, pero podemos solucinarlo",la clase de catalán duró 3 horas. Fue horrible.,,"La próxima semana tengo un examen muy importante, es de vital importancia para mí, si lo suspendo será horroroso, será el fin de mi carrera",Pensamiento absolutista,"Tengo un examen la próxima semana, está en mi mano el prepararlo lo mejor que pueda. Si va mal, entonces buscaré soluciones, como mínimo sé que hay recuperación y llevaré mucho aprendido"
2,Las consecuencias serían insoportables… fracasaría y sería horrible.,Catastrofismo,,,,,,"Aunque falles, la mayoria de cosas se pueden reparar y buscar una buena alternativa",Me sabe fatal que no llegaras a tiempo,,"Hoy me han invitado a un cumpleaños, me apetece mucho ir y conocer gente nueva, pero no iré ya que seguro que hago el ridículo y será insoportable",,"Puede que en el cumpleaños pase algún momento malo, pero conoceré gente nueva y eso es algo muy importante y satisfactorio para mí"
3,"Es mejor que no lo intente, porque fracasaré y será horrible.",Catastrofismo,,,,,,"Esta bien intentar lo que nos importa, no podemos saber como irá","ja ja ja, qué gracioso, ¡eres terrible!",,"Mañana por la mañana he de hacer una ecografía abdominal y la sala de la consulta es muy pequeña. Siempre me pongo nervioso en sitios cerrados, perderé los nervios, será espantoso (terrible)",,"Ya he hecho ecografías en ese sitio en otras ocasiones. Sé que no es para tanto, luego se me pasa el tiempo bastante rápido y enseguida ya estoy listo/a"
4,Todo irá mal,Catastrofismo,,,,,,"No podemos saber como irá, a vecesa algunas cosas salen mal pero podemos hacer algo para que mejoren",las consecuencias del incendio han sido terribles ,,"Estoy nervioso, estoy mal, me lo noto. Me noto el corazón muy acelerado, me dará un ataque de pánico y será horroroso",,"Me late un poco rápido el corazón, pero eso es algo natural, es la misma sensación que cuando hacemos algún esfuerzo. De hecho, sí, estoy un poco nervioso, pero nada más."
5,La reunión fue un desastre,Catastrofismo,,,,,,La reunion no ha salido como esperaba,Lo que me ha pasado es muy desagradable,,"Mi hijo/a salió de Barcelona hace 3 horas y no me ha llamado para decirme que ha llegado. Seguro que les ha pasado algo malo, algo terrible, seguro que han tenido un accidente",,"Mi hijo/a no me ha llamado para decirme que ha llegado a Tarragona, lo más probable es que haya encontrado mucho tráfico (y/o le está costando aparcar). Lo llamaré dentro de 1 o 2 horas"
6,"Esta llegando tarde, seguro que el tren ha tenido un accidente",Catastrofismo,,,,,,Ha habido más fallos de los que esperaba pero aun así podemos intentar resolverlo,En fiestas con gente desconocida lo paso muy mal,,"Otra vez lo he pillado cosas que no me gustan, lo he pillado fumando un porro, mi hijo me va a matar de tanto disgusto, es intolerable",,"Bueno, tiene 17 años y puede que esté experientando. Tendré que hablar con él para explicarle ciertas cosas"
7,"Lo que me está pasando es horrible, no lo puedo soportar",Catastrofismo,,,,,,"Lo que me está pasando es duro, no es agradable, pero lo puedo soportar","Mañana tengo un examen muy difícil e importante, el resultado afectará a mi expediente",,"Hoy tengo que ir al oncólogo, me ha de informar el resultado de la T.A.C., Seguro que me diagnostican un cáncer, será lo peor del mundo, se acabará toda mi vida",,"A ver qué me dice el oncólogo. Si me informan de que padezco un cáncer, entonces tendré que ver qué puedo hacer, qué pronóstico y tratamientos existen"
8,"No voy a la fiesta porque me da terror que me rechacen, eso es lo peor, no lo podría aguantar ",Catastrofismo,,,,,,"A veces estoy incómodo en algunas fiestas, pero luego me lo paso bien","Equivocarse en el nombre de un informe en la empresa, será un error grave",,"Ayer el coche hacía un ruido bastante raro, seguro que cundo lo vuelva a coger no arrancará, será un auténtico desastre, la ruina total",,"Primero tengo que probar de usarlo de nuevo, lo mismo no es nada, sólo un ruido raro. Si finalmente no arranca ya veré qué le pasa. A lo mejor toca una reparación y será caro, pero podré hacerle frente"
9,Es mejor que no lo intente porque seguro que me saldrá mal y será insoportable,Catastrofismo,,,,,," Puede que me salga mal, pero lo he de intentar. De la experiencia se aprende",Es insoportable la gente que habla en el cine,,"Ya le he dicho en varias ocasiones que la quiero y ella no me ha correspondido, si no me quiere será terrible, un horror",,"Puede que aún esté aclarando sus ideas, o que no le guste expresar ciertos sentimientos, además, si no me quiere, podré encontrar otra persona con quien poder ser feliz"
10,"Si mañana no me sale bien el examen será horroroso, yo me muero",Catastrofismo,,,,,,"Si suspendo el examen de mañana me enfadaré después de todo lo que he estudiado, pero me servirá de base para el próximo",La reparación será bastante cara,,"Han dicho en el telediario que se acercan lluvias para la próxima semana, las lluvias seguro que serán dantescas, destrozarán toda la cosecha, será mi ruina",,"Tendré que estar atento a la dirección e intensidad de las posibles tormentas, con suerte cambiarán de dirección. Si no, estaré preocupado."
11,"Después de esto ya no hay solución, mi vida será un horror",Catastrofismo,,,,,,"(Después de esto) Me costará recuperarme, pero saldré adelante","Si suspendo el examen de la próxima semana me bajará mucho la nota media, que horro!",,"Hoy la jefa me ha mirado un poco raro y creo que ha sido un poco seca en el saludo, seguro que piensa que soy estúpido, el peor empleado",,"Creo que la jefa igual tiene un mal día por cómo me ha mirado, también puede ser que haya cometido algún error, tendré que preguntarle si le pasa algo"
12,"Me noto el corazón muy acelerado, me dará un ataque de pánico y será horroroso",Catastrofismo,,,,,,"Me noto el corazón muy acelerado, debo de estar nervioso",Será algo duro y difícil,,"Hoy he vuelto a hacer un error en un informe, soy el peor trabajador de la empresa, todo lo hago fatal",,"Pues sí, de vez en cuando me equivico, como todo/as mis compañeras/os y todo el mundo en general"
13,"Me he equivocado en el nombre de un informe, mi jefa me va a matar, nunca más confiará en mí, esto ya no puede ser peor",Catastrofismo,,,,,,"Me he equivocado en el nombre de un informe, seguramente mi jefa me dirá que me he de fijar más en estos detalles",Lo que me ha pasado es duro,,"Hoy he mos perdido el partido 3 a 0, he sido el peor del partido, qué horror, me echarán del equipo",,"Hoy todo el equipo hemos rendido a un bajo nivel, todo el mundo puede tener malos días, mis compañeros, y yo también, tenemos derecho a no estar siempre a tope"
14,"Que no me responda al mensaje sería lo peor del mundo, lo peor que me podría pasar",Catastrofismo,,,,,,"Que no me responda al mensaje sería algo incómodo para mí, pero llevadero",Para mí es insoportable estar tranquilo en sitios cerrados,,"En estos últimos 5 meses despues de navidad he engordado mucho, es inaceptable, me doy mucho asco, esto no lo puedo soportar.",,"Seguro que no me he cuidado tanto como creo que debería, pero aunque en estos 5 meses he engordado 5 Kg, a partir de ahora le dedicaré más tiempo a una alimentación buena (equilibrada) y volveré a estar como me gusta "
