,text,pre_annotation,xavi,miriam,mireia,agreement
t_161,Siento pavor al subirme a un avión,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_50,debo ir al supermercado porque tengo la nevera vacía,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_91,si no dejo de comer seguiré estando gordo,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
d_10,nadie me echa cuenta,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_74,Mi jefe y yo tenemos formas diferentes de ver las cosas y no nos entendemos,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_9,Algunas personas no estan tant pendientes de mi como me gustaria,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_193,Que tu pareja este disgustada puede ser por muchos motivos,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_146,Que tu madre juegue más con tu hermana pequeña no necesariamente quiere decir que le quiera más a ella que a ti,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_108,No iré a la fiesta porque seguro que hago el ridículo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_88,Necesito un descanso para poder seguir rindiendo y que las cosas salgan como espero,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_13,Siempre me ha gustado bailar,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_166,"Ahora mismo siento que no puedo con esto, pero puede que más adelante lo vea de otro modo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_170,Me siento mal por haberle dicho la verdad a mi amiga,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_53,Podria fijarme más en lo que como e intentar adelgazar,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_66,Es completamente estúpido pensar que puedes ir a la luna andando,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_42,me gustaria que la gente fuese más amable conmigo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_92,Si no le hago la comida a mi pareja no conseguirá su meta de estar más delgada porque no se sabe cocinar,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
a_152,No sacar todo sobresalientes no me convierte en un desastre. ,['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
t_186,"Mi compañero de trabajo me ha mirado esta mañana, seguro que le gusto",['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_174,"Siento que no soy capaz, por lo tanto no debo serlo",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_141,Perder el paraguas es un hecho puntual que no afecta a como soy yo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_187,"El proyecto no ha ido bien, no es mi culpa",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_179,"Es fácil sentirse un perdedor cuando las cosas van mal, quizás podría fijarme en las pequeñas cosas buenas de mi vida",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_113,"ya superé otras entrevistas antes, puedo superar esta también ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_15,"Me cuesta hacer mi tarea, tendré que centrarme en ella",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_91,Si no hubiera ido a ver esa peli no me lo hubiera pasado tan bien,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_12,siempre tengo problemas,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_113,no superaré la entrevista,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_6,Nunca he ido a italia,['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
d_17,nadie me tiene en cuenta,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_114,Seguro que hará mal tiempo en vacaciones,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_22,"Creo que mi padre piensa que soy inutil, pero realmente no tengo hechos que me lo indiquen",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_29,Me trata bien aunque a veces me hace pensar que me odia,['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_156,Estando de vacaciones es probable que hubiesen momentos del día de los que sí disfrutase,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_167,"Como mi abuelo murió hace un mes y mi madre está triste, siento que mi madre también podria morir, pero probablemente sea por como me ha afectado a mi esta situación",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_111,"A veces algunas cosas salen mal, pero esto no significa que sieempre todo vaya mal",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_49,debo coger el tren para ir a ver a mi tia,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_72,"Le he hablado mal a mi madre, he dicho cosas que no queria y ahora me siento mal conmigo mismo ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_69,soy pésimo en el ajedrez,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
t_15,No me gusta nada la col,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_11,nadie me valora,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_154,Me dice que me quiere y a veces me abraza. Estoy super contento con ella,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_39,Estoy seguro de mis habilidades artísticas,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_65,Mi tio no me cae demasiado bien,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_143,Quizás hubieron otros aspectos que sí te hicieron disfrutar de la excursión.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_69,Puedo hacer cosas mal pero eso no me define como persona,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_67,"cuando las cosas no salen como espero es dificil pensar bien de mi, pero en realidad muchas veces acierto",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_39,"siempre me dice que me quiere, pero sé que no es verdad",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_13,jamás tendré fuerzas para conseguir lo que quiero,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_60,Debo darle de comer a mis perros,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_75,No me gusta como responde mi pareja cuando discutimos,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_106,"Estar bien no predice que vaya a pasar algo malo, es mejor disfrutar de estar bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_158,Quizás llegó tarde por otro motivo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_5,Algunas personas no me queiren,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_17,Nada con mucho estilo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_78,"Les expliqué mi problema y esperaba otra cosa de ellos, me han fallado esta vez.",['no distorsión'],['distorsión'],['no distorsión'],['no distorsión'],3
t_145,"Mi jefe me ha felicitado, eso es que está contento con mi trabajo ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_76,he discutido con mi pareja es completamente estúpido,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_93,O llego a mi trabajo a las 8 que es la hora perfecta o más tarde no consigo aparcar el coche,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
t_98,Si alguien del grupo no sabe jugar  o le enseñamos o es facil que pierda ,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_113,me irá mal algunas veces,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_78,es rematadamente tonto,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_42,tengo que ir un momento al baño,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_36,"nunca me ha dicho nada, pero sé que piensa mal de mí",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_111,Estoy convencida de que todo irá mal,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_147,No tengo pruebas suficientes acerca de lo que va a ocurrir con mis padres en el futuro,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_66,mi tio es insoportable,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_44,Se acercan las vacaciones es mejor que me ponga ya a organizarlas por si salen imprevistos,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_171,"Si estudiar no me hace feliz, es porque no es bueno para mí",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_134,"Que no me responda al mensaje sería algo incómodo para mí, pero llevadero",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_94,O está todo bien organizado o no voy a ir al viaje,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_136,"Si me deja mi mujer, pasaré una temporada muy dura, pero saldré adelante",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_139,"Si no me quiere, puedo encontrar otra persona con quien poder ser feliz",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_26,la gente del trabajo me odia,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_89,si no me dicen nada les escribiré yo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_168,Siempre me esfuerzo aunque sienta que no vale la pensa esforzarse,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_1,A veces las cosas no salen como yo esperaba y esto me cuesta de asumir,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_30,"Tengo la sensación que me estoy implicando menos que antes, pero no puedo saber lo que piensan de mi si no les pregunto",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_182,Mi jefe me ha dicho que todos los pacientes a cargo de un residente deberían ser examinados por un médico de la plantilla. Seguro que jefe no se fía de mi trabajo.,['distorsión'],['no distorsión'],['distorsión'],['distorsión'],3
d_22,"Sé que mi padre, en el fondo, piensa que soy un inútil.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_163,"Siento que soy una mala persona, por tanto debo serlo.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_37,Estoy plenamente convencido de la inversión que voy a hacer.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_56,Debo irme ya para llegar a tiempo a recoger a mi hijo a la escuela,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_41,debería comprar el pan para la cena,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_31,Solo sé que no sé nada.,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
a_36,No puedo sacar conclusiones con la información que tengo ya que nunca me lo han dicho,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_68,la verdad es que no paro de pensar en que soy idiota,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_39,"No puedo saber lo que piensa, pero puedo fijarme en los hechos para saber si me quiere",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_165,"Siento, que no puedo con esto.  Pesa tanto que no puedo.",['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_14,constantemente estoy haciendo las cosas mal,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_129,Es insoportable la gente que habla en el cine,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
a_192,"Que las cosas vayan mal, no tiene porque ser mi culpa",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_64,En ocasiones me equivoco y las cosas me salen mal,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_171,No me apetece hacer cambios en mi vida cuando me siento triste,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_6,Tengo la sensacion de que pocas veces me salen las cosas como espero,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_117,me va a ir mal con mi pareja,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_109,"estoy convencido de que será difícil, pero si me esfuerzo quizás lo consiga",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_199,"Cuando hacen referencia a que hay que mejorar el trabajo, no me lo dicen solo a mi",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_196,"Hemos ido de vacaciones y no ha parado de llover, es mi culpa debería haberlo comprobado antes.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_167,"Estudiar no me hace feliz, y eso es molesto para mi",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_32,Creo que me odia,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
t_76,"Mi amigo es de Brasil, aunque hace dos años que vive en Barcelona y dice que le gusta mucho",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_170,"Esta persona me da mala espina, seguro que quiere hacerme daño",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_163,"Si me siento soy incompetente, tengo que trabajar de pie!",['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_156,Recibí una llamada del trabajo estando de vacaciones y me puse de mal humor durante todo el día,['distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],3
t_85,"si no tenemos arroz, cocinaremos pasta",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_136,"Si me deja mi mujer, será horrible, el fin, me moriré",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_104,me sentiré tranquilo cuando termine el proyecto,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_57,tengo que trabajar más,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_105,"si no estudio, me sentiré inseguro",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_105,"sé que no voy a aprobar el examen, aunque haya estudiado mucho",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_83,"A veces me equivoco, como todos, pero esto no me define como persona",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_33,Estoy seguro de mi mismo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_191,"Si mi paciente ha empeorado, puede ser por muchos factores",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_132,Será algo duro y difícil,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
t_142,Los problemas de la vida son consecuencia de muchísimos factores,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_43,debo irme ya,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_100,Si soy feliz por cómo estoy aprendiendo a bailar me volveré una volveré bailarina profesional,['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
a_129," Puede que me salga mal, pero lo he de intentar. De la experiencia se aprende",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_35,estoy seguro de que no le caigo bien aunque me diga que sí,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_90,Puedo controlar otros factores para no subir de peso,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_50,Me iria bien organizarme el tiempo para poder hacer lo que necesito,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_146,Mi madre está jugando con mi hermana pequeña. Creo que mi madre quiere más a mi hermana que a mí.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_32,Sé hacer muy bien mi trabajo. ,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_75,"he tenido problemas con mi antiguo jefe, es una mala persona",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_86,"El problema con la familia de mi pareja me agobia, seria mejor que lo hablasemos y así podriamos encontrar un equilibrio entre nosotros y la familia",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_51,Puedo considerar otras opciones,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_106,"en la entrevista, sé que me evaluarán",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_91,"Todos necesitamos comer, puedo estar más atento al tipo de comida que como",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_3,Algunas veces hago las cosas de la misma forma,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_187,"Mis padres están teniendo una discusión en otro cuarto. Cuando pronuncian mi nombre, piesno que se están discutiendo por mi culpa.",['distorsión'],['distorsión'],['no distorsión'],['distorsión'],3
t_1,siempre me he sentido respaldado por mis amigos,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_199,Mis padres estan hablando de mi en otra habitación,['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
t_182,"He estudiado mucho, no merecía suspender",['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
t_86,si no encuntro un regalo le haré un vale.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_119,"me lo pasé genial en otras fiestas, quizás en esta disfrute del momento también",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_63,Mi tío es estúpido,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_47,Debo sacar como sea adelante el curso.,['distorsión'],['no distorsión'],['no distorsión'],['distorsión'],2
a_183,"Aunque tengas la culpa de alguna cosa que haya sucedido, nada esta más lejos que pensar que eso se generaliza a todo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_120,irá mal en ocasiones,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_77,Cuando me comparo con la gente de mi classe veo que soy bastante alto,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_37,a veces pienso que me odian,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_188,Seguro que no es mi culpa que ya no me hable más,['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
t_51,tengo poca ropa,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_130,"Si mañana no me sale bien el examen será horroroso, yo me muero",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_143,"Pude haber disfrutado de la excursión a no ser por el pollo, que estaba quemado.",['distorsión'],['distorsión'],['no distorsión'],['distorsión'],3
a_175,"Me siento mal, pero puede que sea porque el resultado ha sido negativo, aunque en realidad no haya hecho nada malo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_53,"Tengo que ir a ver a mi madre hoy, es su cumpleaños",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_28,Se que la leche me sienta mal,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_8,Siempre me levanto temprano,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
